	ranges_bin	norm_signal	pre_signal	post_signal	surround_signal	enrichment_factor1	enrichment_factor2
220	[4097746, 4098089)	2.1666666666666665	0.0	2.0	2.0	1.0833333333333333	2.8694493391454188
221	[4110850, 4111102)	2.1875	0.0	1.4	1.4	1.5625	2.897040198175663
222	[4112549, 4112636)	0.8571428571428571	0.0	2.8	2.8	0.30612244897959184	1.1351667715300557
223	[4120082, 4120227)	2.0	5.0	1.4285714285714286	6.428571428571429	0.3111111111111111	2.6487224669034632
224	[4121909, 4122144)	1.4705882352941178	1.0	0.5	1.5	0.9803921568627452	1.9475900491937232
225	[4122516, 4122698)	1.5	0.8333333333333334	1.0	1.8333333333333335	0.8181818181818181	1.9865418501775975
226	[4123426, 4123484)	3.0	0.0	0.8333333333333334	0.8333333333333334	3.5999999999999996	3.973083700355195
227	[4125757, 4125935)	1.4285714285714286	0.25	0.9	1.15	1.2422360248447206	1.8919446192167597
228	[4127203, 4127301)	2.4285714285714284	0.0	0.7	0.7	3.4693877551020407	3.216305852668491
229	[4128009, 4128073)	3.6666666666666665	0.0	0.8	0.8	4.583333333333333	4.855991189323016
230	[4128232, 4128386)	3.7	0.0	1.2	1.2	3.0833333333333335	4.900136563771408
231	[4131206, 4131360)	1.4545454545454546	0.5	1.125	1.625	0.8951048951048951	1.926343612293428
232	[4133446, 4133638)	3.3333333333333335	0.5	0.6666666666666666	1.1666666666666665	2.8571428571428577	4.414537444839106
233	[4136394, 4136809)	1.878787878787879	0.2857142857142857	1.25	1.5357142857142856	1.2233967582804794	2.488193832545678
234	[4137693, 4137841)	1.8181818181818181	0.16666666666666666	0.3333333333333333	0.5	3.6363636363636362	2.407929515366785
235	[4139594, 4139699)	2.5555555555555554	0.0	2.0	2.0	1.2777777777777777	3.384478707709981
236	[4139916, 4140043)	1.9090909090909092	0.0	2.25	2.25	0.8484848484848485	2.5283259911351244
237	[4140805, 4140954)	1.25	1.0	1.6666666666666667	2.666666666666667	0.46874999999999994	1.6554515418146647
238	[4142891, 4143091)	2.272727272727273	0.25	0.375	0.625	3.6363636363636367	3.0099118942084813
239	[4147547, 4147747)	1.3333333333333333	0.5	0.3333333333333333	0.8333333333333333	1.6	1.7658149779356422
240	[4166115, 4166230)	1.375	1.4545454545454546	0.6	2.0545454545454547	0.6692477876106194	1.8209966959961312
241	[4168478, 4168733)	1.0	2.3333333333333335	0.4444444444444444	2.7777777777777777	0.36	1.3243612334517316
242	[4175547, 4175655)	2.25	0.16666666666666666	0.8571428571428571	1.0238095238095237	2.1976744186046515	2.9798127752663963
243	[4176987, 4177188)	1.3571428571428572	1.0	0.6666666666666666	1.6666666666666665	0.8142857142857144	1.7973473882559217
244	[4185157, 4185234)	3.75	0.0	0.5	0.5	7.5	4.966354625443994
245	[4193114, 4193178)	1.5	1.25	0.2	1.45	1.0344827586206897	1.9865418501775975
246	[4193909, 4194099)	1.6	0.0	0.75	0.75	2.1333333333333333	2.118977973522771
247	[4208048, 4208106)	1.8	0.0	1.4285714285714286	1.4285714285714286	1.26	2.3838502202131173
248	[4208423, 4208607)	1.8	0.0	1.8	1.8	1.0	2.3838502202131173
249	[4210635, 4210722)	2.0	0.0	0.75	0.75	2.6666666666666665	2.6487224669034632
250	[4212761, 4212811)	3.0	0.0	0.5	0.5	6.0	3.973083700355195
251	[4215928, 4216108)	1.6666666666666667	0.0	0.6666666666666666	0.6666666666666666	2.5000000000000004	2.207268722419553
252	[4232367, 4232442)	2.6666666666666665	0.0	1.0	1.0	2.6666666666666665	3.5316299558712845
253	[4233132, 4233268)	2.25	1.4	1.0	2.4	0.9375	2.9798127752663963
254	[4236406, 4236557)	2.875	0.0	1.0	1.0	2.875	3.8075385461737286
255	[4237367, 4237433)	2.5714285714285716	0.0	1.0	1.0	2.5714285714285716	3.4055003145901677
